Algeria,012,Africa,Northern Africa,2020,6.25240188087768,9.95345,10.25
Algeria,012,Africa,Northern Africa,2020,3.00843801057075,0.86500,0
Algeria,012,Africa,Northern Africa,2020,3.92265430669419,0.82294,0
Algeria,012,Africa,Northern Africa,2020,5.97566728433775,0.81935,0
Algeria,012,Africa,Northern Africa,2020,3.02005654640649,0.81220,0
Algeria,012,Africa,Northern Africa,2020,3.00783991193804,0.78924,0
Andorra,020,Europe,Southern Europe,2022,,491.378
Andorra,020,Europe,Southern Europe,2022,,517.047
Andorra,020,Europe,Southern Europe,2022,,517.047
Andorra,020,Europe,Southern Europe,2022,,539.049
Andorra,020,Europe,Southern Europe,2022,,539.049
Andorra,020,Europe,Southern Europe,2022,,546.383
Andorra,020,Europe,Southern Europe,2022,,575.719
Andorra,020,Europe,Southern Europe,2022,,564.718
Andorra,020,Europe,Southern Europe,2022,,535.382
Andorra,020,Europe,Southern Europe,2022,,531.715
Andorra,020,Europe,Southern Europe,2021,,524.381
Andorra,020,Europe,Southern Europe,2021,,524.381
Andorra,020,Europe,Southern Europe,2021,,513.38
Andorra,020,Europe,Southern Europe,2021,,484.044
Andorra,020,Europe,Southern Europe,2021,,458.375
Andorra,020,Europe,Southern Europe,2021,,425.372
Andorra,020,Europe,Southern Europe,2020,,407.037
Angola,024,Africa,Middle Africa,2022,1.47221568951002,29710.034,18.98
Angola,024,Africa,Middle Africa,2022,1.52145114021477,29743.037,18.29
Angola,024,Africa,Middle Africa,2022,1.5513399888517,29361.669,18.25
Angola,024,Africa,Middle Africa,2022,1.48366362915472,27172.47,17.58
Angola,024,Africa,Middle Africa,2022,1.41998548622173,25151.953,16.25
Angola,024,Africa,Middle Africa,2022,1.30040253097564,22266.024,15.98
Angola,024,Africa,Middle Africa,2022,1.15788035765145,19156.408,14.58
Angola,024,Africa,Middle Africa,2022,1.17629781841887,18793.375,13.29
Angola,024,Africa,Middle Africa,2022,0.587820498895181,9064.824,12.25
Angola,024,Africa,Middle Africa,2022,0.850821552359864,12665.818,11.25
Angola,024,Africa,Middle Africa,2021,0.676539905401931,9732.218,10.25
Angola,024,Africa,Middle Africa,2021,0.6852123493619,9541.534,9.26
Angola,024,Africa,Middle Africa,2021,0.677726241349765,9156.499,5.26
Angola,024,Africa,Middle Africa,2021,0.556293635445657,7308.331,3.23
Angola,024,Africa,Middle Africa,2021,0.577081314396843,7381.671,2.33
Angola,024,Africa,Middle Africa,2021,0.842542028574652,10491.287,2.22
Angola,024,Africa,Middle Africa,2020,0.90971042264356,11012.001,1.33
Angola,024,Africa,Middle Africa,2020,0.331307491711111,3890.687,0
Angola,024,Africa,Middle Africa,2020,0.51012261878926,5801.194,0
Angola,024,Africa,Middle Africa,2020,0.401602489121364,4418.735,0
Angola,024,Africa,Middle Africa,2020,0.409979247567313,4367.397,0
Angola,024,Africa,Middle Africa,2020,0.428662944786084,4429.736,0
Anguilla,660,Americas,Caribbean,2022,,143.013
Anguilla,660,Americas,Caribbean,2022,,150.347
Anguilla,660,Americas,Caribbean,2022,,146.68
Anguilla,660,Americas,Caribbean,2022,,150.347
Anguilla,660,Americas,Caribbean,2022,,150.347
Anguilla,660,Americas,Caribbean,2022,,143.013
Anguilla,660,Americas,Caribbean,2022,,128.345
Anguilla,660,Americas,Caribbean,2022,,121.011
Anguilla,660,Americas,Caribbean,2022,,102.676
Anguilla,660,Americas,Caribbean,2022,,95.342
Anguilla,660,Americas,Caribbean,2021,,95.342
Anguilla,660,Americas,Caribbean,2021,,62.339
Anguilla,660,Americas,Caribbean,2021,,51.338
Anguilla,660,Americas,Caribbean,2021,,47.671
Anguilla,660,Americas,Caribbean,2021,,44.004
Antigua and Barbuda,028,Americas,Caribbean,2022,5.8238043379617,513.38
Antigua and Barbuda,028,Americas,Caribbean,2022,6.01126867125973,524.381
Antigua and Barbuda,028,Americas,Caribbean,2022,5.90629200463499,509.713
Antigua and Barbuda,028,Americas,Caribbean,2022,5.62838463250887,480.377
Antigua and Barbuda,028,Americas,Caribbean,2022,5.56152469874522,469.376
Antigua and Barbuda,028,Americas,Caribbean,2022,5.0962895515593,425.372
Antigua and Barbuda,028,Americas,Caribbean,2022,4.97431114879186,410.704
Antigua and Barbuda,028,Americas,Caribbean,2022,4.98099561908025,407.037
Antigua and Barbuda,028,Americas,Caribbean,2022,4.80448432710373,388.702
Antigua and Barbuda,028,Americas,Caribbean,2022,4.53621142071723,363.033
Antigua and Barbuda,028,Americas,Caribbean,2021,4.36481284505901,344.698
Antigua and Barbuda,028,Americas,Caribbean,2021,4.43923861528951,344.698
Antigua and Barbuda,028,Americas,Caribbean,2021,4.58127852079799,348.365
Antigua and Barbuda,028,Americas,Caribbean,2021,4.49690052017357,333.697
Antigua and Barbuda,028,Americas,Caribbean,2021,4.67056152397829,337.364
Antigua and Barbuda,028,Americas,Caribbean,2021,4.59386433198093,322.696
Antigua and Barbuda,028,Americas,Caribbean,2020,4.72129804386311,322.696
Antigua and Barbuda,028,Americas,Caribbean,2020,4.68362133734034,311.695
Antigua and Barbuda,028,Americas,Caribbean,2020,4.69200530307702,304.361
Antigua and Barbuda,028,Americas,Caribbean,2020,4.56684112620992,289.693
Antigua and Barbuda,028,Americas,Caribbean,2020,4.6416234057553,289.693
Antigua and Barbuda,028,Americas,Caribbean,2020,4.85726747003521,300.694
Argentina,032,Americas,South America,2022,26.27586863064601,1198860.25,81.88
Argentina,032,Americas,South America,2022,34.43354497661677,1198560.35,81.67
Argentina,032,Americas,South America,2022,94.51370116476909,196530.45,81.45
Argentina,032,Americas,South America,2022,138.82857009851502,1195620.75,81.23
Argentina,032,Americas,South America,2022,384.56983991170201,1195860.87,81.14
Argentina,032,Americas,South America,2022,489.46889761484307,1156921.35,80.45
Argentina,032,Americas,South America,2022,690.16457700342172,1226351.31,80.12
Argentina,032,Americas,South America,2022,1480.07661638080399,1959651.23,79.41
Argentina,032,Americas,South America,2022,768.50606602599061,1956561.12,78.45
Argentina,032,Americas,South America,2022,678.27595661635645,1985920.94,75.34
Argentina,032,Americas,South America,2021,344.55835157983204,1925950.56,73.67
Argentina,032,Americas,South America,2021,523.82290241621381,2156321.21,70.76
Argentina,032,Americas,South America,2021,373.98438959606193,2585632.45,68.89
Argentina,032,Americas,South America,2021,253.8126933467799,2142332.54,45.78
Argentina,032,Americas,South America,2021,153.77346520717481,2135622.96,29.46
Argentina,032,Americas,South America,2021,123.66428906249335,2125662.99,18.23
Argentina,032,Americas,South America,2020,193.51812597120078,2289550.45,0.1
Argentina,032,Americas,South America,2020,215.5858401714242,2280690.46,0.01
Argentina,032,Americas,South America,2020,220.49241211053065,2199850.56,0
Argentina,032,Americas,South America,2020,113.62304485963537,2815980.34,0
Argentina,032,Americas,South America,2020,34.53803832564066,1985960.21,0
Argentina,032,Americas,South America,2020,3.45177026584072,1985850.12,0
Armenia,051,Asia,Western Asia,2022,1.67383607951095,4961.451
Armenia,051,Asia,Western Asia,2022,1.42299837759187,4217.05
Armenia,051,Asia,Western Asia,2022,1.4689477028483,4360.063
Armenia,051,Asia,Western Asia,2022,1.86706781018093,5559.172
Armenia,051,Asia,Western Asia,2022,1.69375480370128,5064.127
Armenia,051,Asia,Western Asia,2022,1.45927235272707,4382.065
Armenia,051,Asia,Western Asia,2022,1.44373095511419,4352.729
Armenia,051,Asia,Western Asia,2022,1.20469835922968,3644.998
Armenia,051,Asia,Western Asia,2022,1.12931780692694,3428.645
Armenia,051,Asia,Western Asia,2022,0.998886774606646,3043.61
Armenia,051,Asia,Western Asia,2021,1.15763670113335,3542.322
Armenia,051,Asia,Western Asia,2021,1.12652945387306,3465.315
Armenia,051,Asia,Western Asia,2021,0.988511936699614,3058.278
Armenia,051,Asia,Western Asia,2021,1.09434274410384,3406.643
Armenia,051,Asia,Western Asia,2021,1.04482523874541,3278.298
Armenia,051,Asia,Western Asia,2021,0.821584565571898,2607.237
Armenia,051,Asia,Western Asia,2020,1.08308924156414,3490.984
Armenia,051,Asia,Western Asia,2020,0.901718661995056,2966.603
Armenia,051,Asia,Western Asia,2020,0.859706564999037,2896.93
Armenia,051,Asia,Western Asia,2020,1.17467416263878,4052.035
Aruba,533,Americas,Caribbean,2022,23.9233508613586,2438.555
Aruba,533,Americas,Caribbean,2022,24.182702245145,2456.89
Aruba,533,Americas,Caribbean,2022,24.8762152675068,2522.896
Aruba,533,Americas,Caribbean,2022,24.7496447742343,2508.228
Aruba,533,Americas,Caribbean,2022,25.6134618994458,2592.569
Aruba,533,Americas,Caribbean,2022,24.7667063373996,2497.227
Aruba,533,Americas,Caribbean,2022,24.9645309953914,2497.227
Aruba,533,Americas,Caribbean,2022,24.5105426262381,2420.22
Aruba,533,Americas,Caribbean,2022,24.9090656084111,2416.553
Aruba,533,Americas,Caribbean,2022,24.9755145007632,2372.549
Aruba,533,Americas,Caribbean,2021,25.3824897194652,2357.881
Aruba,533,Americas,Caribbean,2021,25.5476787954831,2321.211
Aruba,533,Americas,Caribbean,2021,19.6525886477012,1749.159
Aruba,533,Americas,Caribbean,2021,19.6215339841423,1712.489
Aruba,533,Americas,Caribbean,2021,21.5006612285979,1837.167
Aruba,533,Americas,Caribbean,2021,21.6418895366308,1800.497
Aruba,533,Americas,Caribbean,2020,22.1866145457262,1782.162
Aruba,533,Americas,Caribbean,2020,22.9964406779661,1763.827
Aruba,533,Americas,Caribbean,2020,24.4304808408508,1771.161
Aruba,533,Americas,Caribbean,2020,25.258151974793,1723.49
Aruba,533,Americas,Caribbean,2020,29.8476084366247,1928.842
Aruba,533,Americas,Caribbean,2020,29.6201647679732,1840.834
Australia,036,Oceania,Australia and New Zealand,2022,1709.2282694655922,2.34,83.65
Australia,036,Oceania,Australia and New Zealand,2022,986.4328891157879,2.14,82.45
Australia,036,Oceania,Australia and New Zealand,2022,1101.3554454404548,2.14,81.34
Australia,036,Oceania,Australia and New Zealand,2022,2454.3802669842752,2.12,.81.43
Australia,036,Oceania,Australia and New Zealand,2022,1700.1228016733663,2.12,80.12
Australia,036,Oceania,Australia and New Zealand,2022,3170.1548943060925,1.98,80.21
Australia,036,Oceania,Australia and New Zealand,2022,3455.0689868531031,1.89,80.34
Australia,036,Oceania,Australia and New Zealand,2022,4103.9536223814242,1.41,79.45
Australia,036,Oceania,Australia and New Zealand,2022,16.8572913981727,1.11,79.23
Australia,036,Oceania,Australia and New Zealand,2022,3958.3166046019136,1.12,78.34
Australia,036,Oceania,Australia and New Zealand,2021,744.6712978127194,0.36,76.56
Australia,036,Oceania,Australia and New Zealand,2021,57.1075082023681,0.35,67.87
Australia,036,Oceania,Australia and New Zealand,2021,67.1005809610311,0.34,34.67
Australia,036,Oceania,Australia and New Zealand,2021,76.8646998874993,0.35,22.45
Australia,036,Oceania,Australia and New Zealand,2021,76.4753282823304,0.25,22.52
Australia,036,Oceania,Australia and New Zealand,2021,79.4807712640527,0.15,12.56
Australia,036,Oceania,Australia and New Zealand,2020,15.5560208503157,0.14,1.56
Australia,036,Oceania,Australia and New Zealand,2020,5.524280057266,0.12,0
Australia,036,Oceania,Australia and New Zealand,2020,5.6549170537402,0.10,0
Australia,036,Oceania,Australia and New Zealand,2020,5.2932494070821,0.01,0
Australia,036,Oceania,Australia and New Zealand,2020,5.10100848337,0.01,0
Australia,036,Oceania,Australia and New Zealand,2020,4.4325323543159,0.01,0
Austria,040,Europe,Western Europe,2022,1039.73197883525102,65202.927,73.13
Austria,040,Europe,Western Europe,2022,1845.09043012052954,67975.179,73.02
Austria,040,Europe,Western Europe,2022,2992.58305010767811,63483.104,72.56
Austria,040,Europe,Western Europe,2022,4600.24161110431162,68752.583,71.25
Austria,040,Europe,Western Europe,2022,4933.38893682135143,69724.338,70.26
Austria,040,Europe,Western Europe,2022,4520.7242723644993,72214.231,69.26
Austria,040,Europe,Western Europe,2022,3289.01593910813046,74278.752,62.29
Austria,040,Europe,Western Europe,2022,2945.82112999909559,72272.903,59.58
Austria,040,Europe,Western Europe,2022,3396.85188340623228,72074.885,55.67
Austria,040,Europe,Western Europe,2022,3579.27723397650264,66977.755,45.29
Austria,040,Europe,Western Europe,2021,262.17273996700392,65785.98,35.59
Austria,040,Europe,Western Europe,2021,1548.75394282630667,62188.653,29.59
Austria,040,Europe,Western Europe,2021,187.73208153556457,61917.295,25.59
Austria,040,Europe,Western Europe,2021,204.95572309378477,63717.792,21.29
Austria,040,Europe,Western Europe,2021,154.82439852440516,62705.7,18.59
Austria,040,Europe,Western Europe,2021,233.89408047724252,63226.414,15.28
Austria,040,Europe,Western Europe,2020,213.90208740682338,59827.105,13.26
Austria,040,Europe,Western Europe,2020,532.49208740682338,59827.105,12.26
Austria,040,Europe,Western Europe,2020,159.19243785606984,57095.19,0
Austria,040,Europe,Western Europe,2020,76.44773716423828,57135.527,0
Austria,040,Europe,Western Europe,2020,8.27032457946106,56688.153,0
Austria,040,Europe,Western Europe,2020,7.97762319164707,61638.603,0
Austria,040,Europe,Western Europe,2020,35.52571570720786,57722.247,0
Azerbaijan,031,Asia,Western Asia,2022,3.63574628967647,33457.708,47.99
Azerbaijan,031,Asia,Western Asia,2022,3.37318012499123,30678.122,46.25
Azerbaijan,031,Asia,Western Asia,2022,3.55018424782885,31902.9,45.25
Azerbaijan,031,Asia,Western Asia,2022,3.9992360607272,35503.894,44.25
Azerbaijan,031,Asia,Western Asia,2022,3.47879311142992,30509.44,43.25
Azerbaijan,031,Asia,Western Asia,2022,4.52016155557192,39167.227,42.25
Azerbaijan,031,Asia,Western Asia,2022,4.00983207834087,34337.788,39.36
Azerbaijan,031,Asia,Western Asia,2022,3.79083704237397,32089.917,35.69
Azerbaijan,031,Asia,Western Asia,2022,3.65772578785446,30615.783,33.26
Azerbaijan,031,Asia,Western Asia,2022,3.57675384141198,29614.692,32.256
Azerbaijan,031,Asia,Western Asia,2021,3.51065075681841,28771.282,25.36
Azerbaijan,031,Asia,Western Asia,2021,3.63504395680474,29508.349,23.26
Azerbaijan,031,Asia,Western Asia,2021,3.5508397432584,28576.931,22.22
Azerbaijan,031,Asia,Western Asia,2021,3.96714943778289,31675.546,0
Azerbaijan,031,Asia,Western Asia,2021,3.7629389736731,29809.043,0
Azerbaijan,031,Asia,Western Asia,2021,4.01291842502165,31510.531,0
Azerbaijan,031,Asia,Western Asia,2020,4.30839606599367,33479.71,0
Azerbaijan,031,Asia,Western Asia,2020,5.55989150930121,42672.879,0
Azerbaijan,031,Asia,Western Asia,2020,6.523607283899,49365.154,0
Azerbaijan,031,Asia,Western Asia,2020,7.74109009357234,57678.243,0
Bahamas,044,Americas,Caribbean,2022,5.2052378859556,1906.84
Bahamas,044,Americas,Caribbean,2022,6.83561073847844,2464.224
Bahamas,044,Americas,Caribbean,2022,4.63428229692066,1642.816
Bahamas,044,Americas,Caribbean,2022,3.00021530688408,1045.095
Bahamas,044,Americas,Caribbean,2022,4.52412958377309,1547.474
Bahamas,044,Americas,Caribbean,2022,4.53428261556155,1521.805
Bahamas,044,Americas,Caribbean,2022,4.85831145468689,1598.812
Bahamas,044,Americas,Caribbean,2022,5.34581265508685,1723.49
Bahamas,044,Americas,Caribbean,2022,4.80995741768687,1518.138
Bahamas,044,Americas,Caribbean,2022,5.10230100408039,1576.81
Bahamas,044,Americas,Caribbean,2021,5.17970330522599,1569.476
Bahamas,044,Americas,Caribbean,2021,5.60347462209371,1668.485
Bahamas,044,Americas,Caribbean,2021,5.71090368795196,1675.819
Bahamas,044,Americas,Caribbean,2021,5.79280919958886,1679.486
Bahamas,044,Americas,Caribbean,2021,4.75561365894473,1364.124
Bahamas,044,Americas,Caribbean,2021,5.88161577563294,1668.485
Bahamas,044,Americas,Caribbean,2020,6.01018746652383,1683.153
Bahamas,044,Americas,Caribbean,2020,6.11565513740845,1686.82
Bahamas,044,Americas,Caribbean,2020,6.2761217978274,1701.488
Bahamas,044,Americas,Caribbean,2020,6.73875691946922,1793.163
Bahamas,044,Americas,Caribbean,2020,6.82553944435508,1782.162
Bahamas,044,Americas,Caribbean,2020,7.61043622092706,1950.844
Bahrain,048,Asia,Western Asia,2022,18.131278408124,23439.464
Bahrain,048,Asia,Western Asia,2022,18.5794690107094,23252.447
Bahrain,048,Asia,Western Asia,2022,18.2159148798319,21704.973
Bahrain,048,Asia,Western Asia,2022,21.5149627521643,24011.516
Bahrain,048,Asia,Western Asia,2022,21.3231336568015,22013.001
Bahrain,048,Asia,Western Asia,2022,19.8012778786709,18830.045
Bahrain,048,Asia,Western Asia,2022,21.8385485950515,19207.746
Bahrain,048,Asia,Western Asia,2022,21.340424494671,17509.925
Bahrain,048,Asia,Western Asia,2022,21.3306474384049,16468.497
Bahrain,048,Asia,Western Asia,2022,21.4301001582164,15698.427
Bahrain,048,Asia,Western Asia,2021,19.9317151080002,13927.266
Bahrain,048,Asia,Western Asia,2021,27.8987428150706,18643.028
Bahrain,048,Asia,Western Asia,2021,28.1155757489706,18019.638
Bahrain,048,Asia,Western Asia,2021,29.803352673605,18404.673
Bahrain,048,Asia,Western Asia,2021,28.9910294609977,17319.241
Bahrain,048,Asia,Western Asia,2021,26.9475605359352,15621.42
Bahrain,048,Asia,Western Asia,2020,28.4198517020559,16021.123
Bahrain,048,Asia,Western Asia,2020,29.0798568749203,15969.785
Bahrain,048,Asia,Western Asia,2020,29.3107552392988,15702.094
Bahrain,048,Asia,Western Asia,2020,21.9142727608364,11455.708
Bahrain,048,Asia,Western Asia,2020,24.2046679551452,12335.788
Bahrain,048,Asia,Western Asia,2020,25.5388068007678,12665.818
Bangladesh,050,Asia,Southern Asia,2022,0.873339090754091,57069.521,70.99
Bangladesh,050,Asia,Southern Asia,2022,0.87156390079171,56152.771,70.69
Bangladesh,050,Asia,Southern Asia,2022,0.853103928948631,52790.132,70.55
Bangladesh,050,Asia,Southern Asia,2022,0.835078178398188,49581.507,70.29
Bangladesh,050,Asia,Southern Asia,2022,0.720136562614626,46886.262,70.29
Bangladesh,050,Asia,Southern Asia,2022,0.732278182488306,48136.709,70.28
Bangladesh,050,Asia,Southern Asia,2022,0.762365597332536,37553.747,70.24
Bangladesh,050,Asia,Southern Asia,2022,0.68144773001968,39750.28,70.25
Bangladesh,050,Asia,Southern Asia,2022,0.543437439168624,33883.08,70.23
Bangladesh,050,Asia,Southern Asia,2022,0.546025687625601,33707.064,70.22
Bangladesh,050,Asia,Southern Asia,2022,0.58144773001968,39750.28,70.21
Bangladesh,050,Asia,Southern Asia,2022,0.543437439168624,33883.08,70.29
Bangladesh,050,Asia,Southern Asia,2022,0.546025687625601,33707.064,70.25
Bangladesh,050,Asia,Southern Asia,2021,0.540902076214146,32456.617,69.28
Bangladesh,050,Asia,Southern Asia,2021,0.5105190561662,27869.2,63.29
Bangladesh,050,Asia,Southern Asia,2021,0.494174893387984,25236.294,61.29
Bangladesh,050,Asia,Southern Asia,2021,0.488644998745044,24048.186,60.26
Bangladesh,050,Asia,Southern Asia,2021,0.400599318189722,25063.945,58.29
Bangladesh,050,Asia,Southern Asia,2021,0.396320874971373,24029.851,56.26
Bangladesh,050,Asia,Southern Asia,2021,0.370902076214146,32456.617,53.69
Bangladesh,050,Asia,Southern Asia,2021,0.3505190561662,27869.2,52.26
Bangladesh,050,Asia,Southern Asia,2021,0.334174893387984,25236.294,51.29
Bangladesh,050,Asia,Southern Asia,2021,0.328644998745044,24048.186,50.25
Bangladesh,050,Asia,Southern Asia,2021,0.290599318189722,25063.945,49.58
Bangladesh,050,Asia,Southern Asia,2021,0.286320874971373,24029.851,49.58
Bangladesh,050,Asia,Southern Asia,2020,0.250340810807012,22816.074,45.25
Bangladesh,050,Asia,Southern Asia,2020,0.201621139162807,18969.391,36.98
Bangladesh,050,Asia,Southern Asia,2020,0.20150236067276,17407.249,36.29
Bangladesh,050,Asia,Southern Asia,2020,0.207859354195011,17748.28,21.25
Bangladesh,050,Asia,Southern Asia,2020,0.204999394640031,15940.449,15.69
Bangladesh,050,Asia,Southern Asia,2020,0.204650458453804,15533.412,15.69
Bangladesh,050,Asia,Southern Asia,2020,0.190340810807012,22816.074,12.26
Bangladesh,050,Asia,Southern Asia,2020,0.161621139162807,18969.391,0
Bangladesh,050,Asia,Southern Asia,2020,0.15150236067276,17407.249,0
Bangladesh,050,Asia,Southern Asia,2020,0.157859354195011,17748.28,0
Bangladesh,050,Asia,Southern Asia,2020,0.144999394640031,15940.449,0
Bangladesh,050,Asia,Southern Asia,2020,0.144650458453804,15533.412,0
Barbados,052,Americas,Caribbean,2022,5.55637606279542,1565.809
Barbados,052,Americas,Caribbean,2022,5.41426411218419,1518.138
Barbados,052,Americas,Caribbean,2022,5.82238733217207,1624.481
Barbados,052,Americas,Caribbean,2022,5.86436819697876,1628.148
Barbados,052,Americas,Caribbean,2022,5.17643524433811,1430.13
Barbados,052,Americas,Caribbean,2022,4.98851678469972,1371.458
Barbados,052,Americas,Caribbean,2022,4.94620350333372,1353.123
Barbados,052,Americas,Caribbean,2022,4.75542697599236,1294.451
Barbados,052,Americas,Caribbean,2022,4.68454903929938,1268.782
Barbados,052,Americas,Caribbean,2022,4.55783158457132,1228.445
Barbados,052,Americas,Caribbean,2021,4.55135745594418,1221.111
Barbados,052,Americas,Caribbean,2021,4.44667839365246,1188.108
Barbados,052,Americas,Caribbean,2021,4.5455262564796,1210.11
Barbados,052,Americas,Caribbean,2021,4.29753551644873,1140.437
Barbados,052,Americas,Caribbean,2021,3.40915171991565,902.082
Barbados,052,Americas,Caribbean,2021,3.22393172757727,850.744
Barbados,052,Americas,Caribbean,2020,3.14913457336652,828.742
Barbados,052,Americas,Caribbean,2020,2.85042352376344,748.068
Barbados,052,Americas,Caribbean,2020,4.25948936625477,1114.768
Barbados,052,Americas,Caribbean,2020,3.75183071929737,979.089
Barbados,052,Americas,Caribbean,2020,4.63704429710772,1206.443
Barbados,052,Americas,Caribbean,2020,4.14300752691489,1074.431
Belarus,112,Europe,Eastern Europe,2022,6.69849755422817,63303.421,55.96
Belarus,112,Europe,Eastern Europe,2022,6.55581046183412,62221.656,53.29
Belarus,112,Europe,Eastern Europe,2022,6.32943258744555,60292.814,52.36
Belarus,112,Europe,Eastern Europe,2022,6.57356824404359,62815.71,48.59
Belarus,112,Europe,Eastern Europe,2022,6.28894091494453,60281.813,45.29
Belarus,112,Europe,Eastern Europe,2022,6.42692097041285,61829.287,42.36
Belarus,112,Europe,Eastern Europe,2022,6.11134162894008,59064.369,40.29
Belarus,112,Europe,Eastern Europe,2022,5.97095295664368,58037.609,39.59
Belarus,112,Europe,Eastern Europe,2022,5.49069302259551,53721.55,38.95
Belarus,112,Europe,Eastern Europe,2022,5.31727814018784,52390.429,36.59
Belarus,112,Europe,Eastern Europe,2021,5.30190158982106,52595.781,35.69
Belarus,112,Europe,Eastern Europe,2021,5.35678417786576,53468.527,33.26
Belarus,112,Europe,Eastern Europe,2021,5.5625635851327,55819.074,26.56
Belarus,112,Europe,Eastern Europe,2021,5.71360695391186,57597.569,22.36
Belarus,112,Europe,Eastern Europe,2021,5.8810086125703,59519.077,15.29
Belarus,112,Europe,Eastern Europe,2021,5.92315939591137,60157.135,14.26
Belarus,112,Europe,Eastern Europe,2020,6.09662604309027,62118.98,13.56
Belarus,112,Europe,Eastern Europe,2020,6.44974703699021,65914.325,12.63
Belarus,112,Europe,Eastern Europe,2020,7.26611232921472,74451.101,11.23
